RedFighter,BlueFighter,RedFighter_KD,BlueFighter_KD,RedFighter_STR,BlueFighter_STR,RedFighter_TD,BlueFighter_TD,RedFighter_SUB,BlueFighter_SUB,Event,Date,Location,WL,Winner,Victory_Result,Victory_Method,Round,Time,Weight_Class,Title,Fight_Bonus,Perf_Bonus,Sub_Bonus,KO_Bonus
Tom Aspinall,Ciryl Gane,0,0,27,30,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",NCNC,Tom Aspinall,CNC,CNC,1,4:35,Heavyweight,1.0,0.0,0.0,0.0,0.0
Mackenzie Dern,Virna Jandiroba,0,0,118,106,2,9,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Mackenzie Dern,U-DEC,U-DEC,5,5:00,Women's Strawweight,1.0,0.0,0.0,0.0,0.0
Mario Bautista,Umar Nurmagomedov,1,0,20,32,0,11,1,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Umar Nurmagomedov,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Jailton Almeida,Alexander Volkov,0,0,9,24,7,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Alexander Volkov,S-DEC,S-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0
Aleksandar Rakic,Azamat Murzakanov,0,1,9,3,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Azamat Murzakanov,KO/TKOPunch,KO/TKOPunch,1,3:11,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Nasrat Haqparast,Quillan Salkilld,0,1,10,14,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Quillan Salkilld,KO/TKOKick,KO/TKOKick,1,2:30,Lightweight,0.0,0.0,1.0,0.0,0.0
Ikram Aliskerov,JunYong Park,0,0,91,78,5,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Ikram Aliskerov,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Mateusz Rebecki,Ludovit Klein,0,0,72,82,3,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Ludovit Klein,M-DEC,M-DEC,3,5:00,Lightweight,0.0,1.0,0.0,0.0,0.0
Louie Sutherland,Valter Walker,0,0,3,5,0,1,0,1,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Valter Walker,SUBHeel,SUBHeel Hook,1,1:24,Heavyweight,0.0,0.0,1.0,0.0,0.0
Nathaniel Wood,Jose Delgado,1,1,99,134,2,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Nathaniel Wood,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0
Chris Barnett,Hamdy Abdelwahab,0,0,18,99,0,9,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Hamdy Abdelwahab,U-DEC,U-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0
Mitch Raposo,Azat Maksum,0,0,30,19,0,7,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Mitch Raposo,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0
Mizuki,Jaqueline Amorim,1,0,62,26,2,2,0,1,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Mizuki,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0
Brendan Allen,Reinier de Ridder,0,0,22,9,1,3,1,1,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Brendan Allen,KO/TKO,KO/TKO,4,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Mike Malott,Kevin Holland,0,0,49,52,1,1,1,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Mike Malott,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0
Marlon Vera,Aiemann Zahabi,1,0,56,81,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Aiemann Zahabi,S-DEC,S-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Manon Fiorot,Jasmine Jasudavicius,0,0,16,2,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Manon Fiorot,KO/TKOPunches,KO/TKOPunches,1,1:14,Women's Flyweight,0.0,0.0,0.0,0.0,0.0
Charles Jourdain,Davey Grant,1,0,25,9,0,0,1,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Charles Jourdain,SUBGuillotine,SUBGuillotine Choke,1,3:05,Bantamweight,0.0,0.0,1.0,0.0,0.0
Kyle Nelson,Matt Frevola,1,0,63,43,2,2,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Kyle Nelson,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0
Drew Dober,Kyle Prepolec,0,0,83,51,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Drew Dober,KO/TKOPunches,KO/TKOPunches,3,1:16,Lightweight,0.0,1.0,0.0,0.0,0.0
Cody Gibson,Aoriqileng,0,1,3,5,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Aoriqileng,KO/TKOPunch,KO/TKOPunch,1,0:21,Bantamweight,0.0,0.0,1.0,0.0,0.0
Bruno Silva,HyunSung Park,1,0,46,31,5,1,1,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Bruno Silva,SUBRear,SUBRear Naked Choke,3,2:15,Flyweight,0.0,0.0,0.0,0.0,0.0
Djorden Santos,Danny Barlow,0,0,99,93,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Djorden Santos,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Stephanie Luciano,Ravena Oliveira,0,0,60,24,3,0,1,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Stephanie Luciano,SUBRear,SUBRear Naked Choke,3,2:50,Women's Strawweight,0.0,0.0,0.0,0.0,0.0
Yousri Belgaroui,Azamat Bekoev,0,0,102,24,1,4,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Yousri Belgaroui,KO/TKOPunches,KO/TKOPunches,3,0:55,Middleweight,0.0,0.0,0.0,0.0,0.0
Tainara Lisboa,Melissa Croden,0,1,42,99,2,2,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Melissa Croden,KO/TKOPunches,KO/TKOPunches,3,4:32,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0
Mateusz Gamrot,Charles Oliveira,0,0,18,11,1,1,0,1,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Charles Oliveira,SUBRear,SUBRear Naked Choke,2,2:48,Lightweight,0.0,0.0,1.0,0.0,0.0
Montel Jackson,Deiveson Figueiredo,0,0,30,23,1,2,0,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Deiveson Figueiredo,S-DEC,S-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Joel Alvarez,Vicente Luque,0,0,89,30,1,0,1,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Joel Alvarez,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0
Jhonata Diniz,Mario Pinto,0,0,1,29,0,3,0,2,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Mario Pinto,KO/TKOPunches,KO/TKOPunches,2,4:10,Heavyweight,0.0,0.0,0.0,0.0,0.0
Kaan Ofli,Ricardo Ramos,0,0,1,1,1,0,1,3,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Kaan Ofli,SUBRear,SUBRear Naked Choke,1,3:02,Featherweight,0.0,0.0,0.0,0.0,0.0
Lucas Almeida,Michael Aswell Jr.,0,2,9,30,0,0,0,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Michael Aswell Jr.,KO/TKOPunches,KO/TKOPunches,1,1:42,Featherweight,0.0,0.0,0.0,0.0,0.0
Jafel Filho,Clayton Carpenter,0,0,5,7,1,0,1,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Jafel Filho,SUBKimura,SUBKimura,1,4:42,Flyweight,0.0,0.0,0.0,0.0,0.0
Thomas Petersen,Vitor Petrino,0,2,16,31,0,1,0,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Vitor Petrino,KO/TKOPunch,KO/TKOPunch,3,0:26,Heavyweight,0.0,0.0,1.0,0.0,0.0
Bia Mesquita,Irina Alekseeva,0,0,36,6,2,0,1,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Bia Mesquita,SUBRear,SUBRear Naked Choke,2,2:14,Women's Bantamweight,0.0,0.0,1.0,0.0,0.0
Lucas Rocha,Stewart Nicoll,0,0,115,45,3,2,0,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Lucas Rocha,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0
Karolina Kowalkiewicz,Julia Polastri,0,0,72,137,1,0,0,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Julia Polastri,KO/TKOPunches,KO/TKOPunches,3,2:56,Women's Strawweight,0.0,0.0,1.0,0.0,0.0
Saimon Oliveira,Luan Lacerda,0,0,21,24,1,3,0,1,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Luan Lacerda,SUBArmbar,SUBArmbar,2,3:55,Bantamweight,0.0,0.0,0.0,0.0,0.0
Magomed Ankalaev,Alex Pereira,0,0,4,28,0,0,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Alex Pereira,KO/TKOElbows,KO/TKOElbows,1,1:20,Light Heavyweight,1.0,0.0,1.0,0.0,0.0
Cory Sandhagen,Merab Dvalishvili,0,0,80,114,0,20,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Merab Dvalishvili,U-DEC,U-DEC,5,5:00,Bantamweight,1.0,0.0,0.0,0.0,0.0
Jiri Prochazka,Khalil Rountree Jr.,1,0,71,66,0,0,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Jiri Prochazka,KO/TKOPunches,KO/TKOPunches,3,3:04,Light Heavyweight,0.0,0.0,1.0,0.0,0.0
Youssef Zalal,Josh Emmett,0,0,0,0,1,0,1,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Youssef Zalal,SUBArmbar,SUBArmbar,1,1:38,Featherweight,0.0,0.0,0.0,0.0,0.0
Joe Pyfer,Abus Magomedov,1,0,6,11,0,1,2,1,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Joe Pyfer,SUBRear,SUBRear Naked Choke,2,1:46,Middleweight,0.0,0.0,1.0,0.0,0.0
Tre'ston Vines,Ateba Gautier,0,1,0,6,0,1,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Ateba Gautier,KO/TKOPunches,KO/TKOPunches,1,1:41,Middleweight,0.0,0.0,0.0,0.0,0.0
Daniel Santos,JooSang Yoo,1,0,27,31,1,0,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Daniel Santos,KO/TKOPunch,KO/TKOPunch,2,0:21,Catch Weight,0.0,0.0,0.0,0.0,0.0
Patchy Mix,Jakub Wiklacz,0,0,37,46,5,0,0,3,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Jakub Wiklacz,S-DEC,S-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Andre Muniz,Edmen Shahbazyan,0,1,15,25,1,0,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Edmen Shahbazyan,KO/TKOElbows,KO/TKOElbows,1,4:58,Middleweight,0.0,0.0,0.0,0.0,0.0
Punahele Soriano,Nikolay Veretennikov,0,0,39,9,4,0,1,2,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Punahele Soriano,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0
Yana Santos,Macy Chiasson,0,0,65,54,0,2,0,1,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Yana Santos,U-DEC,U-DEC,3,5:00,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0
Farid Basharat,Chris Gutierrez,0,0,41,31,2,1,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Farid Basharat,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Ramiz Brahimaj,Austin Vanderford,0,0,21,5,0,3,2,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Ramiz Brahimaj,SUBGuillotine,SUBGuillotine Choke,2,2:24,Welterweight,0.0,0.0,0.0,0.0,0.0
Brogan Walker,Veronica Hardy,0,1,22,39,3,0,0,1,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Veronica Hardy,U-DEC,U-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0
Dominick Reyes,Carlos Ulberg,0,1,5,11,0,0,0,0,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Carlos Ulberg,KO/TKOPunches,KO/TKOPunches,1,4:27,Light Heavyweight,0.0,0.0,1.0,0.0,0.0
Ivan Erslan,Jimmy Crute,0,0,10,12,0,2,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Jimmy Crute,SUBRear,SUBRear Naked Choke,1,3:19,Light Heavyweight,0.0,0.0,1.0,0.0,0.0
Ramon Taveras,Jack Jenkins,0,0,43,65,0,3,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Jack Jenkins,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0
Jake Matthews,Neil Magny,0,0,18,31,0,3,3,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Neil Magny,SUBD'Arce,SUBD'Arce Choke,3,3:08,Welterweight,0.0,0.0,0.0,0.0,0.0
Charlie Campbell,Tom Nolan,0,0,15,26,0,1,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Tom Nolan,SUBRear,SUBRear Naked Choke,1,4:08,Lightweight,0.0,0.0,1.0,0.0,0.0
Rodolfo Bellato,Navajo Stirling,0,0,43,81,2,1,0,0,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Navajo Stirling,U-DEC,U-DEC,3,5:00,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Cam Rowston,Andre Petroski,1,0,12,7,0,0,0,0,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Cam Rowston,KO/TKOPunches,KO/TKOPunches,1,2:41,Middleweight,0.0,0.0,0.0,0.0,0.0
Jamie Mullarkey,Rolando Bedoya,0,0,43,46,3,0,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Jamie Mullarkey,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0
Josias Musasa,Colby Thicknesse,0,0,43,62,1,2,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Colby Thicknesse,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Michelle Montague,Luana Carolina,0,0,41,48,5,0,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Michelle Montague,U-DEC,U-DEC,3,5:00,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0
Elisha Ellison,Brando Pericic,0,0,3,29,0,0,0,0,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Brando Pericic,KO/TKOPunches,KO/TKOPunches,1,1:55,Heavyweight,0.0,0.0,1.0,0.0,0.0
Alexia Thainara,Loma Lookboonmee,0,0,44,30,5,0,1,0,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Alexia Thainara,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0
Diego Lopes,Jean Silva,1,0,74,43,3,0,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Diego Lopes,KO/TKOPunches,KO/TKOPunches,2,4:48,Featherweight,0.0,1.0,1.0,0.0,0.0
David Martinez,Rob Font,0,0,62,49,0,0,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,David Martinez,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Jared Gordon,Rafa Garcia,0,1,65,91,1,2,0,2,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Rafa Garcia,KO/TKOElbows,KO/TKOElbows,3,2:27,Lightweight,0.0,0.0,0.0,0.0,0.0
Kelvin Gastelum,Dustin Stoltzfus,1,0,57,64,0,1,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Kelvin Gastelum,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Diego Ferreira,Alexander Hernandez,0,1,23,30,0,0,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Alexander Hernandez,KO/TKOPunches,KO/TKOPunches,2,3:46,Lightweight,0.0,0.0,0.0,0.0,0.0
Quang Le,Santiago Luna,0,2,12,15,0,0,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Santiago Luna,KO/TKOPunch,KO/TKOPunch,1,2:48,Bantamweight,0.0,0.0,1.0,0.0,0.0
Dusko Todorovic,Jose Daniel Medina,0,0,16,9,2,0,1,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Dusko Todorovic,SUBRear,SUBRear Naked Choke,1,4:21,Middleweight,0.0,0.0,0.0,0.0,0.0
Claudio Puelles,Joaquim Silva,0,1,21,25,4,0,0,1,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Joaquim Silva,S-DEC,S-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0
Tatiana Suarez,Amanda Lemos,0,0,20,23,3,0,0,1,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Tatiana Suarez,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0
Luis Gurule,Jesus Aguilar,0,0,65,85,0,1,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Jesus Aguilar,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0
Sedriques Dumas,Zachary Reese,0,0,3,2,0,0,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",NCNC,Zachary Reese,CNC,CNC,1,0:51,Middleweight,0.0,0.0,0.0,0.0,0.0
Alessandro Costa,Alden Coria,0,0,12,42,1,2,2,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Alden Coria,KO/TKOPunches,KO/TKOPunches,3,0:47,Flyweight,0.0,0.0,0.0,0.0,0.0
Montse Rendon,Alice Pereira,0,0,45,37,0,0,1,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Montse Rendon,S-DEC,S-DEC,3,5:00,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0
Daniil Donchenko,Rodrigo Sezinando,1,0,39,10,1,1,0,0,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",WIN,Daniil Donchenko,KO/TKOPunches,KO/TKOPunches,1,4:27,Welterweight,1.0,0.0,0.0,0.0,0.0
Nassourdine Imavov,Caio Borralho,0,0,81,66,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Nassourdine Imavov,U-DEC,U-DEC,5,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Benoit Saint Denis,Mauricio Ruffy,0,0,17,5,3,0,1,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Benoit Saint Denis,SUBRear,SUBRear Naked Choke,2,2:56,Lightweight,0.0,0.0,0.0,0.0,0.0
Modestas Bukauskas,Paul Craig,0,0,22,6,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Modestas Bukauskas,KO/TKOElbow,KO/TKOElbow,1,5:00,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Mason Jones,Bolaji Oki,1,1,57,38,2,0,1,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Mason Jones,KO/TKOElbows,KO/TKOElbows,2,3:18,Lightweight,0.0,0.0,0.0,0.0,0.0
Rhys McKee,Axel Sola,0,1,33,45,0,1,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Axel Sola,KO/TKOPunch,KO/TKOPunch,3,2:02,Welterweight,0.0,0.0,0.0,0.0,0.0
William Gomis,Robert Ruchala,0,0,49,34,2,2,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,William Gomis,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0
Brendson Ribeiro,Oumar Sy,0,0,5,17,0,2,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Oumar Sy,KO/TKOPunches,KO/TKOPunches,1,4:42,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Marcin Tybura,Ante Delija,0,1,4,13,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Ante Delija,KO/TKOPunches,KO/TKOPunches,1,2:03,Heavyweight,0.0,0.0,0.0,0.0,0.0
Kaue Fernandes,Harry Hardwick,1,0,24,8,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Kaue Fernandes,KO/TKOKick,KO/TKOKick,1,3:21,Lightweight,0.0,0.0,0.0,0.0,0.0
Sam Patterson,Trey Waters,0,0,25,18,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Sam Patterson,KO/TKOPunches,KO/TKOPunches,1,3:01,Welterweight,0.0,0.0,0.0,0.0,0.0
Brad Tavares,Robert Bryczek,0,1,42,68,1,1,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Robert Bryczek,KO/TKOPunches,KO/TKOPunches,3,1:43,Middleweight,0.0,0.0,0.0,0.0,0.0
Andreas Gustafsson,Rinat Fakhretdinov,0,0,5,23,0,0,0,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Rinat Fakhretdinov,KO/TKOPunches,KO/TKOPunches,1,0:54,Welterweight,0.0,0.0,0.0,0.0,0.0
Sam Hughes,Shauna Bannon,0,0,21,13,2,0,1,0,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",WIN,Sam Hughes,SUBRear,SUBRear Naked Choke,2,1:58,Women's Strawweight,0.0,0.0,0.0,0.0,0.0
Johnny Walker,Zhang Mingyang,1,0,50,20,0,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Johnny Walker,KO/TKOPunches,KO/TKOPunches,2,2:37,Light Heavyweight,0.0,0.0,1.0,0.0,0.0
Aljamain Sterling,Brian Ortega,0,0,124,55,3,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Aljamain Sterling,U-DEC,U-DEC,5,5:00,Catch Weight,0.0,0.0,0.0,0.0,0.0
Sergei Pavlovich,Waldo Cortes-Acosta,0,0,61,45,0,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Sergei Pavlovich,U-DEC,U-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0
Kevin Borjas,Sumudaerji,0,0,16,73,0,0,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Sumudaerji,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0
Kiefer Crosbie,Taiyilake Nueraji,0,0,2,27,0,1,0,0,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",WIN,Taiyilake Nueraji,KO/TKOElbows,KO/TKOElbows,1,3:33,Welterweight,0.0,0.0,0.0,0.0,0.0
